start,end,duration_h,peak_obs_mllw,peak_pred_mllw,peak_surge_ft,max_depth_curb_in,max_depth_road_in,max_depth_intersection_in,max_depth_lawn_in,year,month
1917-10-24 11:00:00,1917-10-24 15:00:00,5,7.486,5.163,3.315,10.872000000000007,8.472000000000005,6.312000000000008,5.832000000000008,1917,10
1917-10-30 08:00:00,1917-10-30 08:00:00,1,6.587,6.048,0.5389999999999997,0.08399999999999608,0.0,0.0,0.0,1917,10
1918-04-10 07:00:00,1918-04-10 08:00:00,2,6.886,5.49,1.396,3.6720000000000113,1.2720000000000091,0.0,0.0,1918,4
1918-04-10 19:00:00,1918-04-10 22:00:00,4,7.784,6.135,1.987,14.447999999999986,12.047999999999984,9.887999999999987,9.407999999999987,1918,4
1918-04-11 08:00:00,1918-04-11 10:00:00,3,7.486,5.448,2.0749999999999993,10.872000000000007,8.472000000000005,6.312000000000008,5.832000000000008,1918,4
1918-04-11 19:00:00,1918-04-11 23:00:00,5,8.444,6.219,2.463,22.36800000000001,19.968000000000007,17.80800000000001,17.32800000000001,1918,4
1922-07-24 19:00:00,1922-07-24 20:00:00,2,6.685,6.123,0.5899999999999999,1.2600000000000051,0.0,0.0,0.0,1922,7
1922-07-25 20:00:00,1922-07-25 21:00:00,2,6.987,6.191,0.8620000000000001,4.884,2.483999999999998,0.3240000000000016,0.0,1922,7
1922-08-21 18:00:00,1922-08-21 18:00:00,1,6.587,6.1,0.4870000000000001,0.08399999999999608,0.0,0.0,0.0,1922,8
1922-09-20 19:00:00,1922-09-20 19:00:00,1,6.587,6.257,0.33000000000000007,0.08399999999999608,0.0,0.0,0.0,1922,9
1922-09-21 07:00:00,1922-09-21 08:00:00,2,6.787,6.283,0.6340000000000003,2.484000000000009,0.08400000000000674,0.0,0.0,1922,9
1922-09-21 19:00:00,1922-09-21 21:00:00,3,7.388,6.226,1.2809999999999997,9.695999999999998,7.295999999999996,5.135999999999999,4.655999999999999,1922,9
