week,events_per_year
1,0.20930232558139536
2,0.12790697674418605
3,0.12790697674418605
4,0.10465116279069768
5,0.18604651162790697
6,0.1744186046511628
7,0.046511627906976744
8,0.023255813953488372
9,0.16279069767441862
10,0.18604651162790697
11,0.046511627906976744
12,0.10465116279069768
13,0.11627906976744186
14,0.12790697674418605
15,0.19767441860465115
16,0.16279069767441862
17,0.06976744186046512
18,0.06976744186046512
19,0.08139534883720931
20,0.09302325581395349
21,0.12790697674418605
22,0.05813953488372093
23,0.046511627906976744
24,0.05813953488372093
25,0.023255813953488372
26,0.03488372093023256
27,0.0
28,0.0
29,0.023255813953488372
30,0.05813953488372093
31,0.023255813953488372
32,0.03488372093023256
33,0.05813953488372093
34,0.08139534883720931
35,0.08139534883720931
36,0.03488372093023256
37,0.10465116279069768
38,0.1744186046511628
39,0.22093023255813954
40,0.16279069767441862
41,0.20930232558139536
42,0.18604651162790697
43,0.2441860465116279
44,0.20930232558139536
45,0.13953488372093023
46,0.23255813953488372
47,0.09302325581395349
48,0.09302325581395349
49,0.08139534883720931
50,0.3023255813953488
51,0.1511627906976744
52,0.1511627906976744
53,0.03488372093023256
