return_period_yr,return_level_mllw,depth_at_curb_in,depth_at_road_middle_in,depth_at_intersection_in,depth_at_lawn_step_in
2,7.570003905309031,11.880046863708372,9.48004686370837,7.320046863708374,6.840046863708373
5,8.375945149756557,21.551341797078685,19.151341797078683,16.991341797078686,16.511341797078686
10,8.908729159208649,27.944749910503788,25.544749910503786,23.38474991050379,22.90474991050379
25,9.580971306470023,36.01165567764027,33.61165567764027,31.45165567764027,30.97165567764027
50,10.079007640914977,41.98809169097972,39.588091690979724,37.42809169097973,36.94809169097972
100,10.572801785586142,47.9136214270337,45.5136214270337,43.3536214270337,42.873621427033704
500,11.71173572353604,61.58082868243249,59.18082868243249,57.020828682432494,56.54082868243249
