product,utc,point,box_mean,box_max,unit
MultiSensor_QPE_01H_Pass2,2026-06-01T00:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-06-01T01:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-06-01T02:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-06-01T03:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-06-01T04:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-06-01T05:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-06-14T18:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-06-14T19:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-06-14T20:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-06-14T21:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-06-14T22:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-06-14T23:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-06-15T00:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-06-15T01:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-06-15T02:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-06-15T03:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-06-15T04:00:00Z,3.90,3.80,4.10,mm
MultiSensor_QPE_01H_Pass2,2026-06-15T05:00:00Z,5.10,5.18,6.50,mm
MultiSensor_QPE_01H_Pass2,2026-06-15T18:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-06-15T19:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-06-15T20:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-06-15T21:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-06-15T22:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-06-15T23:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-06-16T00:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-06-16T01:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-06-16T02:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-06-16T03:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-06-16T04:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-06-16T05:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-17T00:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-17T01:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-17T02:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-17T03:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-17T04:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-17T05:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-17T06:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-17T07:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-17T08:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-17T09:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-17T10:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-17T11:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-17T12:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-17T13:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-17T14:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-17T15:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-17T16:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-17T17:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-17T18:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-17T19:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-17T20:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-17T21:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-17T22:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-17T23:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-18T00:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-18T01:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-18T02:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-18T03:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-18T04:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-18T05:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-18T06:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-18T07:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-18T08:00:00Z,0.00,0.00,0.00,mm
