stage_in_vs_sw_grate,elev_navd88,wet_area_cells,marginal_area_cells
22.9,5.4283,123570,37
23.0,5.4367,123619,49
23.1,5.445,123682,63
23.2,5.4533,123744,62
23.3,5.4617,123790,46
23.4,5.47,123823,33
23.5,5.4783,123859,36
23.6,5.4867,123897,38
23.7,5.495,123930,33
23.8,5.5033,123962,32
23.9,5.5117,123998,36
24.0,5.52,124030,32
